V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,vid,gc,quota,Respondent_Group,term,Screening,Condition,Intro,Consent,Reason_NC,CheckGroup,Intro_S,Q1_S_Ob,Q2_S_Ob,Q3_S_Ob,Q4_S,Q5_S_Ra,Q6_S_Ra,Q7_S_Op,Q8_S_Op,Q9_S_Op,Q10_S_IQ,Q11_S_IQ,Q12_S_IQ,Q13_S_In,Q14_S_In,Q15_S_In,Q16_S_Co,Q17_S_Co,Q18_S_Co,Intro_H,Q1_H_Ob,Q2_H_Ob,Q3_H_Ob,Q4_H_Ra,Q5_H_Ra,Q6_H_Ra,Q7_H_Op,Q8_H_Op,Q9_H_Op,Q10_H_IQ,Q11_H_IQ,Q12_H_IQ,Q13_H_In,Q14_H_In,Q15_H_In,Q16_H_Co,Q17_H_Co,Q18_H_Co,Intro_dem,Dem_countr,Dem_y_born,Dem_gender,Dem_occup,Dem_occup_TEXT,Dem_relig,Feedback,DO-BR-FL_19,DO-BL-Scientists,DO-BL-Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,vid,gc,quota,Respondent_Group,term,Screening,Condition,"Dear respondent, /  /    /  /  Thank you for your interest in our /  survey.  /    /  /  We will only report /  results of our survey aggregated (averaged) over many different /  respondents so that your answers will...","Before you start, please indicate / that you have read the above and agree to participate:",You have indicated that you do not wish to participate in this / study.  /   /  Thank you for your time.  /  /   /  If there is a specific reason why you do not wish to participate /  that you want to share with...,This question is to check whether you're indeed a member of the /  respondent group we're interested in for this study: /  /  Please indicate which answer applies to you:,"Below, /  you will read a series of statements about the /  typical scientist.  /  /    /  /  By /  ‘scientist’, we mean a person who is trained in a science and /  whose job involves doing scientific research or...",A scientist is capable of suppressing personal biases in the / interest of objective inquiry.,A scientist assesses relevant information without prejudicial /  distortions.,A scientist exhibits little emotionality with respect to his/her / beliefs.,A scientist has excellent problem-solving skills.,A scientist can readily discriminate between illogical and logical / reasoning.,A scientist is logical in his/her professional problem solving.,A scientist suspends judgment when faced with insufficient or / ambiguous information.,A scientist is generally willing to acknowledge evidence that goes / against his/her beliefs.,A scientist is willing to change his/her beliefs when / confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a scientist.,Superior intelligence is a prerequisite for a successful career of / a scientist.,A scientist has a very high IQ score.,A scientist conducts his/her work with integrity.,A scientist does not engage in unethical behavior to advance / his/her career.,A scientist does not commit fraud in his/her work.,A scientist does not withhold information from his/her colleagues / to protect his/her own interests.,A scientist exhibits cooperative rather than competitive behavior.,A scientist is not interested in personal fame or recognition.,"Below, you will read a series of /  statements about the /  typical highly-educated /  person.   /  /    /  /  By ‘a highly-educated /  person’, we mean a person who obtained a Bachelor's Degree or a /  Master's Deg...",A highly-educated person is capable of suppressing personal biases / in the interest of objective inquiry.,A highly-educated person assesses relevant information /  without prejudicial distortions.,A highly-educated person exhibits little emotionality / with respect to his/her beliefs.,A highly-educated person has excellent problem-solving /  skills.,A highly-educated person can readily discriminate between / illogical and logical reasoning.,A highly-educated person is logical in his/her / professional problem solving.,A highly-educated person suspends judgment when faced / with insufficient or ambiguous information.,A highly-educated person is willing to acknowledge / evidence that goes against his/her beliefs.,A highly-educated person is willing to change his/her / beliefs when confronted with contrary evidence.,Standard measures of intelligence are a good predictor of the / performance of a highly-educated person.,Superior intelligence is a prerequisite for a successful career of / a highly-educated person.,A highly-educated person has a very high IQ score.,A highly-educated person conducts his/her work with / integrity.,A highly-educated person does not engage in unethical / behavior to advance his/her career.,A highly-educated person does not commit fraud in his/her / work. ,A highly-educated person does not withhold information / from his/her colleagues to protect his/her own interests.,A highly-educated person exhibits cooperative rather than / competitive behavior.,A highly-educated person is not interested in personal / fame or recognition.,"Finally, we would like to ask you a few demographic questions:",List of Countries,What year were you born?,What is your gender?,What is your occupation? ,What is your occupation? -TEXT,And the final question: /   /  To what extent do you agree with the following statement? /   /   /    /   /    /   /   /  I consider myself religious,"This is the end of the questionnaire. Before we display some / additional information about our study, we would like to offer you / the opportunity to write down any comments, thoughts, ideas or / sugges...",Display Order: Block Randomizer FL_19,Display Order: Scientists,Display Order: Highly_educated_people,LocationLatitude,LocationLongitude,LocationAccuracy
R_6hTHXUIc7P03k2x,Default Response Set,Anonymous,,,24.181.237.21,0,5/13/2014 5:00,5/13/2014 5:03,1,26776234-6e4e-41ad-9de5-ab4feafd82e7,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,4,5,6,6,4,6,6,5,3,5,5,4,4,4,4,4,1,187,54,2,7,disabled,40,,,,,,,
R_3xxhPx4eRPuM5EN,Default Response Set,Anonymous,,,74.98.0.247,0,5/13/2014 5:08,5/13/2014 5:12,1,ba5336d8-5afd-4b3a-80e2-e62f536938bf,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,5,3,3,4,3,6,6,6,2,3,3,6,4,6,6,5,6,1,187,28,1,7,Retired,43,,,,,,,
R_6zEw82pxN83zSPH,Default Response Set,Anonymous,,,12.162.188.76,0,5/13/2014 5:05,5/13/2014 5:14,1,e533941e-4174-4604-bb8d-fe00ef5491ed,1,,Educated,,,Educated_Scientists,1,1,,1,1,3,5,5,5,5,5,5,3,3,5,5,5,5,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,1,187,51,2,7,genealogist,44,,,,,,,
R_3NL596n39TI0X6R,Default Response Set,Anonymous,,,76.231.20.89,0,5/13/2014 5:09,5/13/2014 5:14,1,f993858f-9223-4202-a72c-3348851fbb63,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,5,5,6,6,5,6,6,6,4,4,6,6,7,7,6,6,6,,,,,,,,,,,,,,,,,,,,1,187,26,2,7,retired,42,,,,,,,
R_0jomqFmj0ktw7lP,Default Response Set,Anonymous,,,192.200.105.219,0,5/13/2014 5:19,5/13/2014 5:22,1,8f6f9865-3fb9-41d4-9414-427264c5624b,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,6,5,5,6,6,5,5,5,5,6,5,6,6,6,5,5,6,,,,,,,,,,,,,,,,,,,,1,187,61,1,6,,43,,,,,,,
R_a9mnkBACAakvNL7,Default Response Set,Anonymous,,,96.232.252.248,0,5/13/2014 5:20,5/13/2014 5:22,1,e7810d26-73f8-48a2-949a-624af4bf0154,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,187,52,1,7,admin,39,,,,,,,
R_81FUBjOJNsdhXfv,Default Response Set,Anonymous,,,75.82.10.211,0,5/13/2014 5:26,5/13/2014 5:28,1,dcf4640e-feb6-4cd0-962f-80f362d7fbc5,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,7,6,6,5,6,6,7,6,6,7,6,6,6,5,1,187,44,2,7,cpa,44,,,,,,,
R_2sM8QT8M2nurrh3,Default Response Set,Anonymous,,,71.89.84.211,0,5/13/2014 5:25,5/13/2014 5:28,1,6d42786d-6689-43ae-86ee-0a0646be2dc3,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,2,,,,,,,,,,,,,,,,,,,,1,187,63,1,7,CPA,43,,,,,,,
R_cN2JSWWhqFElXU1,Default Response Set,Anonymous,,,174.62.87.24,0,5/13/2014 5:32,5/13/2014 5:35,1,cd794a8f-9dd2-4815-8c21-ffa762f59035,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,7,6,7,7,6,5,6,6,6,5,6,7,6,6,7,7,5,,,,,,,,,,,,,,,,,,,,1,187,32,2,7,sales,38,,,,,,,
R_eJn3Ak7Cnfuuvsx,Default Response Set,Anonymous,,,64.90.215.25,0,5/13/2014 5:35,5/13/2014 5:38,1,3200ff1c-0719-404d-910f-a6304ae62319,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,3,3,5,4,6,6,2,1,4,6,1,2,4,1,1,1,4,3,1,187,63,2,7,unemployed,44,,,,,,,
R_3xRRDon0Txk4Qjb,Default Response Set,Anonymous,,,174.50.145.152,0,5/13/2014 5:39,5/13/2014 5:42,1,39364d3f-7123-4d1e-9f48-23bf5cda8921,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,2,3,3,5,5,5,2,5,4,6,3,3,5,2,2,2,5,2,1,187,34,2,7,executive assistant,42,,,,,,,
R_a3IhsxzHFLbAEtv,Default Response Set,Anonymous,,,64.134.151.255,0,5/13/2014 5:44,5/13/2014 5:49,1,85b279c4-567a-4ff3-9be5-d81db462c199,1,,Educated,,,Educated_Scientists,1,1,,2,1,3,5,3,6,4,6,4,4,4,4,4,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,23,1,7,engineer,41,,,,,,,
R_bdzRIAnq3Ah2Rpj,Default Response Set,Anonymous,,,162.200.147.71,0,5/13/2014 5:49,5/13/2014 5:53,1,9d118369-6fb9-4b32-b7b0-3b3de3001727,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,4,6,4,6,6,6,2,6,5,5,7,5,4,4,4,4,4,3,1,187,28,1,7,CEO,41,,,,,,,
R_6J61fZS89vc5rMN,Default Response Set,Anonymous,,,70.23.77.31,0,5/13/2014 5:54,5/13/2014 6:01,1,0caaf838-2b65-486b-8726-a8355d14e9ff,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,6,4,4,6,7,4,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,1,187,49,2,7,customer service,43,,,,,,,
R_3atfwsLeVNqspsF,Default Response Set,Anonymous,,,71.237.237.19,0,5/13/2014 5:59,5/13/2014 6:01,1,395feec7-2e95-475b-be74-63ed82260324,1,,Educated,,,Educated_Educated,1,1,,4,,,,,,,,,,,,,,,,,,,,1,5,4,4,6,5,6,4,5,3,6,5,6,4,4,4,4,5,4,1,187,40,1,7,Lawyer,38,,,,,,,
R_0NDkE6cIeJOiUER,Default Response Set,Anonymous,,,66.196.22.2,0,5/13/2014 6:02,5/13/2014 6:07,1,b72ed48a-2f2d-4d75-8834-2710769fd2ed,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,1,2,4,1,3,4,4,4,4,3,7,2,4,1,1,1,4,1,1,187,36,2,7,Admin asst,44,,,,,,,
R_elY94yLHuARwzZj,Default Response Set,Anonymous,,,71.95.216.66,0,5/13/2014 6:02,5/13/2014 6:07,1,c4ba11cf-c426-4ce5-bf88-753ae65df028,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,5,6,2,6,4,6,6,5,5,7,6,5,5,3,5,3,,,,,,,,,,,,,,,,,,,,1,187,61,1,7,Education,41,,,,,,,
R_9S1ZajySjdFb5Ah,Default Response Set,Anonymous,,,98.160.237.244,0,5/13/2014 6:04,5/13/2014 6:11,1,faf9b522-facd-4b56-8bf5-f608a974cba9,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,7,4,7,6,7,7,7,6,7,6,6,7,7,7,7,7,6,,,,,,,,,,,,,,,,,,,,1,187,38,1,7,Disabled,38,,,,,,,
R_4NMIOTiFct0oCHj,Default Response Set,Anonymous,,,74.47.97.62,0,5/13/2014 6:20,5/13/2014 6:25,1,29c5c9c8-20d3-4633-a8ec-2e2d9b3e2c55,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,4,6,3,4,5,4,3,4,4,5,5,3,2,2,2,4,4,,,,,,,,,,,,,,,,,,,,1,187,30,1,7,Internet Marketer,40,,,,,,,
R_3QQULzTHLWqEdvv,Default Response Set,Anonymous,,,74.107.71.4,0,5/13/2014 6:19,5/13/2014 6:26,1,c68fd458-eeb0-4249-b09b-82c89fd6e57b,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,5,2,5,6,5,5,6,6,4,1,5,5,2,5,1,4,1,1,187,52,1,7,CBPO,43,,,,,,,
R_dbbRa224SG0zDCZ,Default Response Set,Anonymous,,,172.56.21.24,0,5/13/2014 6:23,5/13/2014 6:26,1,9435973e-15a5-4477-a311-09eb1153a8ff,1,,Educated,,,Educated_Scientists,1,1,,1,1,7,6,3,4,6,7,7,7,6,2,2,2,7,7,7,4,7,3,,,,,,,,,,,,,,,,,,,,1,187,32,1,7,Printer,39,,,,,,,
R_8f9emrYUpnjvqG9,Default Response Set,Anonymous,,,64.246.108.229,0,5/13/2014 6:20,5/13/2014 6:27,1,a168a204-5598-4636-bb04-d86281fe93db,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,4,4,7,5,4,4,4,4,2,3,5,4,4,4,4,4,4,1,187,42,2,7,Homemaker,42,,,,,,,
R_3kPOJEXplTVDuzb,Default Response Set,Anonymous,,,68.184.68.82,0,5/13/2014 6:29,5/13/2014 6:34,1,edb641c4-21cf-4d93-8285-2e4d9faecf8f,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,4,2,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,1,187,55,1,7,e-commerce,44,,,,,,,
R_8c7QyZC1bWFj1WJ,Default Response Set,Anonymous,,,71.32.249.100,0,5/13/2014 6:36,5/13/2014 6:38,1,69dc3848-3811-4afe-ae0b-c2d23b62d9ba,1,,Educated,,,Educated_Scientists,1,1,,1,1,7,7,6,6,7,6,7,6,7,7,6,5,6,7,7,6,7,6,,,,,,,,,,,,,,,,,,,,1,187,49,2,7,npo,43,,,,,,,
R_bpB9u0wRkjkdEaN,Default Response Set,Anonymous,,,173.71.146.61,0,5/13/2014 6:38,5/13/2014 6:43,1,81423fda-9bc1-48f7-8f55-e468c4b7a075,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,7,6,7,6,7,5,6,7,7,7,6,7,7,7,2,6,3,,,,,,,,,,,,,,,,,,,,1,187,56,1,7,cto,43,,,,,,,
R_ehTjNsqzV9rUZnv,Default Response Set,Anonymous,,,72.131.110.206,0,5/13/2014 6:41,5/13/2014 6:45,1,236af4c0-d08c-4349-b74a-ae817bcaa21c,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,5,3,2,6,5,5,5,6,5,2,2,2,5,6,2,4,2,3,1,187,67,2,7,teacher,38,,,,,,,
R_4OAdKFLWbUt8F9j,Default Response Set,Anonymous,,,75.183.44.166,0,5/13/2014 6:22,5/13/2014 6:47,1,8569c483-33ba-40d8-91f0-d5cae06bdc0d,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,6,6,2,5,7,6,5,6,6,3,4,4,7,3,5,4,5,3,1,187,56,1,7,manager,38,,,,,,,
R_e9bfbWzfswbYxXn,Default Response Set,Anonymous,,,50.181.223.107,0,5/13/2014 6:44,5/13/2014 6:47,1,3d4beddf-4df6-4794-b5dc-a8da4a6d04db,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,5,6,6,6,6,7,6,4,3,4,7,6,6,6,5,4,,,,,,,,,,,,,,,,,,,,1,187,50,2,7,,40,,,,,,,
R_e37mZysOD0bUrpb,Default Response Set,Anonymous,,,68.117.241.39,0,5/13/2014 6:46,5/13/2014 6:50,1,5631fc49-984a-4701-b234-ef7b58bdcfb9,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,6,6,2,6,6,6,5,6,6,6,5,6,7,3,3,3,4,2,1,187,43,1,7,business management,44,,,,,,,
R_9menBCtGdIRqMxT,Default Response Set,Anonymous,,,71.234.94.140,0,5/13/2014 6:45,5/13/2014 6:53,1,93a9a97c-cc9a-4f1f-802a-f3f4f61255dd,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,5,5,3,4,4,5,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,51,2,7,manager,44,,,,,,,
R_1AZWOfdTBEap1U9,Default Response Set,Anonymous,,,96.245.91.31,0,5/13/2014 6:51,5/13/2014 6:54,1,4578d4ea-2e38-4be4-8748-6832f7f10bec,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,7,6,7,7,6,7,6,6,3,2,2,7,6,7,6,7,6,1,187,40,2,7,merchandising specialist,40,,,,,,,
R_1LVSF1TKvuAN2uN,Default Response Set,Anonymous,,,173.0.5.131,0,5/13/2014 22:59,5/13/2014 23:01,1,bb4ca1c4-04d1-4639-978c-d7d219ad3b65,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,5,5,6,5,6,6,6,7,7,5,6,5,5,6,6,5,5,6,1,187,65,1,6,,40,,,,,,,
R_a3DZlv9oXI2QKnH,Default Response Set,Anonymous,,,99.116.217.181,0,5/13/2014 22:59,5/13/2014 23:04,1,494e53ca-aa88-4915-943d-6d6d5b3521d5,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,2,2,7,3,6,6,1,5,5,6,6,5,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,1,187,29,1,7,retired,43,,,,,,,
R_4TKX1wbP3UCK1oN,Default Response Set,Anonymous,,,128.48.42.197,0,5/13/2014 23:04,5/13/2014 23:07,1,213d0185-3192-4fea-b441-8126c65e6c09,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,5,3,2,4,5,4,3,5,5,5,5,4,4,4,4,4,4,4,1,187,22,1,7,,38,,,,,,,
R_eDQFlFff9KVyoyp,Default Response Set,Anonymous,,,70.190.139.187,0,5/13/2014 23:04,5/13/2014 23:07,1,24df4632-92d4-465d-9261-cf9ab2c47fc6,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,1,187,31,2,7,Homemaker,43,,,,,,,
R_3q6L0MSkq2IhFxr,Default Response Set,Anonymous,,,12.208.4.65,0,5/13/2014 23:08,5/13/2014 23:10,1,3549f85d-4460-4913-be87-43f0d6d0f38c,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,4,2,3,4,2,2,4,4,4,4,4,4,4,2,4,4,4,1,187,59,2,7,admin,40,,,,,,,
R_8hNf6nkDD2t1vkp,Default Response Set,Anonymous,,,76.93.154.35,0,5/13/2014 23:07,5/13/2014 23:11,1,ebdc2672-aa8f-4106-ad69-8b2b06044cd0,1,,Educated,,,Educated_Scientists,1,1,,1,1,6,6,4,6,6,6,6,5,6,5,3,5,6,5,6,5,6,2,,,,,,,,,,,,,,,,,,,,1,187,32,1,7,Computer Services,39,,,,,,,
R_1MJCSe44ifZDyPr,Default Response Set,Anonymous,,,163.150.180.253,0,5/13/2014 23:10,5/13/2014 23:12,1,1df1d61c-94b9-4579-b6ee-1c6de6db7e84,1,,Educated,,,Educated_Scientists,1,1,,2,1,5,7,1,5,6,6,2,7,1,1,1,1,6,4,5,3,6,4,,,,,,,,,,,,,,,,,,,,1,187,54,1,7,Teacher,38,,,,,,,
R_5oKsFklaJarwHIN,Default Response Set,Anonymous,,,23.243.208.17,0,5/13/2014 23:12,5/13/2014 23:15,1,c2e50687-3350-4565-b688-42ef67a50033,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,3,6,6,5,5,5,4,3,2,4,5,2,4,1,4,4,1,187,60,2,7,Film/TV development executive,38,,,,,,,
R_6fjYHdxvw6i3wEZ,Default Response Set,Anonymous,,,71.197.2.44,0,5/13/2014 23:13,5/13/2014 23:18,1,fcae1d35-8d5b-406e-b28b-5f5a04b1754e,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,5,3,5,6,5,6,7,3,5,3,4,6,6,4,6,4,4,1,187,55,2,7,,43,,,,,,,
R_envWiwUSx2vnWS1,Default Response Set,Anonymous,,,75.1.48.146,0,5/13/2014 23:16,5/13/2014 23:18,1,a44e037d-38a9-4773-b373-655734209244,1,,Educated,,,Educated_Scientists,1,1,,1,1,4,4,4,5,4,6,3,4,4,3,5,3,4,6,1,6,4,2,,,,,,,,,,,,,,,,,,,,1,187,50,1,7,construction,38,,,,,,,
R_40EftuX3EbcoqI5,Default Response Set,Anonymous,,,68.109.130.185,0,5/13/2014 23:17,5/13/2014 23:19,1,6772c7ea-2c00-4ce0-99c9-aa5b73aa3f59,1,,Educated,,,Educated_Scientists,1,1,,1,1,5,6,2,6,5,6,5,6,5,5,5,6,6,5,5,6,6,5,,,,,,,,,,,,,,,,,,,,1,187,65,2,6,,38,,,,,,,
R_eIHB8GnPz8WpLXn,Default Response Set,Anonymous,,,134.139.4.11,0,5/13/2014 23:15,5/13/2014 23:19,1,0c5cff45-5f07-4ce4-b8fe-32b924c95f77,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,6,5,5,6,6,5,6,5,6,5,5,5,6,6,5,5,5,3,1,187,49,1,7,manager,43,,,,,,,
R_89cC2gAma3l773D,Default Response Set,Anonymous,,,72.192.144.12,0,5/13/2014 23:23,5/13/2014 23:26,1,e914c1fe-70d4-4c45-a33a-11180c8c0be5,1,,Educated,,,Educated_Scientists,1,1,,2,1,6,6,6,7,6,6,6,6,4,2,3,4,7,7,7,7,6,5,,,,,,,,,,,,,,,,,,,,1,187,41,1,7,retired,44,,,,,,,
R_ernl3ELnCwywac5,Default Response Set,Anonymous,,,50.182.149.205,0,5/13/2014 23:22,5/13/2014 23:27,1,e7054d40-0a12-4bf2-81ac-6e1e34d17a96,1,,Educated,,,Educated_Educated,1,1,,2,,,,,,,,,,,,,,,,,,,,1,3,6,3,5,5,6,3,5,5,5,2,1,5,3,3,3,2,2,1,187,33,2,7,teacher,39,,,,,,,
R_3TNuxhE0xGoB7Eh,Default Response Set,Anonymous,,,96.42.231.100,0,5/13/2014 23:25,5/13/2014 23:28,1,b4d672cf-7e52-44f1-9c93-87954d60717b,1,,Educated,,,Educated_Educated,1,1,,1,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,1,187,46,1,7,Massage Therapist,38,,,,,,,
